iter	Passed	Remaining
0	2710	268329
1	4568	223833
2	6576	212628
3	8681	208359
4	11120	211297
5	12535	196382
6	13997	185971
7	16167	185926
8	18226	184292
9	19464	175180
10	21277	172153
11	22890	167860
12	24728	165489
13	26286	161473
14	27647	156667
15	29546	155121
16	30753	150147
17	32266	146993
18	33637	143403
19	36043	144173
20	37659	141670
21	38843	137717
22	40521	135659
23	42400	134267
24	44341	133025
25	45676	130003
26	46982	127027
27	48157	123832
28	49344	120809
29	50840	118627
30	51945	115620
31	53157	112958
32	54507	110667
33	55664	108053
34	56746	105386
35	58746	104438
36	59847	101902
37	61025	99568
38	62361	97539
39	63553	95330
40	64746	93171
41	66718	92134
42	68014	90158
43	69287	88183
44	70496	86162
45	71654	84115
46	73186	82529
47	74686	80910
48	75855	78951
49	77627	77627
50	78785	75696
51	79999	73845
52	81590	72354
53	82629	70388
54	83849	68604
55	85421	67117
56	86576	65312
57	87661	63479
58	89326	62074
59	90581	60387
60	91666	58606
61	92957	56973
62	94317	55392
63	95891	53938
64	97261	52371
65	98742	50867
66	100197	49351
67	101250	47647
68	102411	46011
69	103992	44568
70	105183	42962
71	106990	41607
72	108877	40269
73	110580	38852
74	111681	37227
75	112759	35608
76	113921	34028
77	116136	32756
78	117511	31237
79	119212	29803
80	121121	28411
81	122545	26900
82	123857	25368
83	125790	23960
84	127032	22417
85	128171	20865
86	129381	19332
87	130636	17814
88	132597	16388
89	134066	14896
90	135476	13398
91	136909	11905
92	137967	10384
93	139066	8876
94	140275	7382
95	141429	5892
96	142557	4408
97	143783	2934
98	145386	1468
99	146593	0
