iter	Passed	Remaining
0	5605	554915
1	13698	671220
2	19500	630523
3	25193	604639
4	31516	598806
5	35886	562223
6	40821	542341
7	47337	544386
8	52441	530238
9	56657	509915
10	60114	486382
11	64634	473987
12	68821	460574
13	73705	452763
14	77841	441103
15	82061	430823
16	86048	420121
17	90103	410472
18	94280	401932
19	98561	394245
20	103099	387850
21	107415	380835
22	111873	374532
23	115779	366634
24	120007	360021
25	124486	354307
26	128179	346558
27	131684	338616
28	135618	332030
29	139867	326358
30	144001	320520
31	147882	314249
32	152021	308650
33	155906	302641
34	159664	296520
35	163882	291347
36	166325	283203
37	169696	276873
38	173884	271973
39	178398	267597
40	183085	263464
41	186564	257636
42	190168	252083
43	193170	245853
44	197615	241530
45	201563	236617
46	205407	231630
47	208839	226242
48	213552	222269
49	217655	217655
50	220970	212304
51	224384	207124
52	228866	202957
53	232181	197784
54	235970	193067
55	239454	188143
56	243058	183360
57	246313	178364
58	249418	173324
59	252835	168557
60	256374	163911
61	260134	159437
62	264832	155536
63	268010	150755
64	271235	146049
65	275006	141670
66	278377	137111
67	282051	132729
68	286960	128924
69	291626	124982
70	295602	120739
71	299942	116644
72	305231	112893
73	309172	108628
74	312516	104172
75	315811	99729
76	319693	95492
77	324632	91563
78	328231	87251
79	331115	82778
80	336163	78853
81	339998	74633
82	345095	70682
83	349515	66574
84	353613	62402
85	356782	58080
86	360045	53799
87	365054	49780
88	369721	45695
89	374827	41647
90	378407	37424
91	382887	33294
92	386543	29094
93	390833	24946
94	395712	20826
95	398916	16621
96	402806	12457
97	406942	8304
98	410311	4144
99	414666	0
